;set_id;name;year;theme;subtheme;themeGroup;category;pieces;minifigs;agerange_min;US_retailPrice;bricksetURL;thumbnailURL;imageURL
7680;AUTODESK1-1;Dinosaur;2008;Creator;Miscellaneous;Model making;Other;49.0;;7.0;;https://brickset.com/sets/AUTODESK1-1;https://images.brickset.com/sets/small/AUTODESK1-1.jpg;https://images.brickset.com/sets/images/AUTODESK1-1.jpg
7681;B8516-1;Batman T-Shirt;2008;Gear;Clothing;Miscellaneous;Gear;;;;;https://brickset.com/sets/B8516-1;https://images.brickset.com/sets/small/B8516-1.jpg;https://images.brickset.com/sets/images/B8516-1.jpg
7682;BRAINTREE-1;{Baseball Player};2008;Promotional;LEGO brand store opening set;Miscellaneous;Other;58.0;;;;https://brickset.com/sets/BRAINTREE-1;https://images.brickset.com/sets/small/BRAINTREE-1.jpg;https://images.brickset.com/sets/images/BRAINTREE-1.jpg
7683;BRICKJOURNAL001-1;BrickJournal Issue 1;2008;Books;Magazines/BrickJournal;Miscellaneous;Book;;;;;https://brickset.com/sets/BRICKJOURNAL001-1;https://images.brickset.com/sets/small/BRICKJOURNAL001-1.jpg;https://images.brickset.com/sets/images/BRICKJOURNAL001-1.jpg
7684;BRICKJOURNAL002-1;BrickJournal Issue 2;2008;Books;Magazines/BrickJournal;Miscellaneous;Book;;;;;https://brickset.com/sets/BRICKJOURNAL002-1;https://images.brickset.com/sets/small/BRICKJOURNAL002-1.jpg;https://images.brickset.com/sets/images/BRICKJOURNAL002-1.jpg
7685;BRICKJOURNAL003-1;BrickJournal Issue 3;2008;Books;Magazines/BrickJournal;Miscellaneous;Book;;;;;https://brickset.com/sets/BRICKJOURNAL003-1;https://images.brickset.com/sets/small/BRICKJOURNAL003-1.jpg;https://images.brickset.com/sets/images/BRICKJOURNAL003-1.jpg
7686;BRICKJOURNAL004-1;BrickJournal Issue 4;2008;Books;Magazines/BrickJournal;Miscellaneous;Book;;;;;https://brickset.com/sets/BRICKJOURNAL004-1;https://images.brickset.com/sets/small/BRICKJOURNAL004-1.jpg;https://images.brickset.com/sets/images/BRICKJOURNAL004-1.jpg
7687;BRICKJOURNALC01-1;BrickJournal Compendium 1;2008;Books;Magazines/BrickJournal;Miscellaneous;Book;;;;;https://brickset.com/sets/BRICKJOURNALC01-1;https://images.brickset.com/sets/small/BRICKJOURNALC01-1.jpg;https://images.brickset.com/sets/images/BRICKJOURNALC01-1.jpg
7688;C001-1;LEGO Star Wars Clock;2008;Gear;Watches/Clocks;Miscellaneous;Gear;;;;29.99;https://brickset.com/sets/C001-1;https://images.brickset.com/sets/small/C001-1.jpg;https://images.brickset.com/sets/images/C001-1.jpg
7689;CHANDLER-1;{Cactus};2008;Promotional;LEGO brand store opening set;Miscellaneous;Other;58.0;;;;https://brickset.com/sets/CHANDLER-1;https://images.brickset.com/sets/small/CHANDLER-1.jpg;https://images.brickset.com/sets/images/CHANDLER-1.jpg
